Tmax	Tmin	Tav	VPD	Rain	Solar rad	Rain Days	Frost Days	Ca	D13Catm
13.72	5.13	9.77	6.89	75.7	9.84	6	3.6	314.69	-6.88 
10.18	4.05	6.65	3.81	231.4	3.8	5	5.3	314.69	-7.05 
4.55	2.09	2.35	0.4	127.2	0.66	23	8.3	314.69	-7.21 
-1.61	-3.58	-3.31	0	172.6	0.03	17	17.2	314.69	-7.30 
-2.08	-7.77	-5.18	0.97	237.4	0.75	19.1	23.8	314.69	-7.31 
0.71	-6.04	-2.77	1.79	62	2.29	14	21.1	314.69	-7.35 
1.44	-3.63	-1.48	1.29	175.2	4.36	16.2	17.3	314.69	-7.41 
6.34	-0.91	2.51	3.33	113.2	9.81	14.9	13.1	314.69	-7.46 
14.26	2.67	8.2	9.19	24.8	21.65	13.3	7.4	314.69	-7.47 
16.39	7	11.37	8.92	39.1	22.63	11.4	0.6	314.69	-7.34 
20.77	10.29	15.14	12.87	8.9	22.54	5.9	0	314.69	-7.06 
20.61	8.01	14.3	14.69	15.9	20.4	4.1	0	314.69	-6.84 
18.98	5.51	12.25	13.94	7.6	14.32	7.3	3	314.69	-6.88 
8.77	-0.31	4.48	5.06	60	5.52	9.8	12.1	314.69	-7.05 
-0.16	-6.39	-3.41	1.45	59.8	1.19	17.4	21.7	314.69	-7.22 
-2.15	-5.32	-4.11	0.11	129.3	0.09	17.9	20	314.69	-7.30 
-2.47	-5.82	-4.44	0.15	229.4	0.46	19.1	20.8	314.69	-7.32 
-7.8	-18.4	-13.1	1.12	143.9	2.79	14	40.5	314.69	-7.36 
1.96	-3.66	-0.96	1.6	102.5	4.69	16.2	17.4	314.69	-7.41 
10.31	1.73	6.14	5.4	27.9	10.98	14.9	8.9	314.69	-7.46 
15.18	7.51	11.37	6.87	51.6	15.61	13.3	0	314.69	-7.48 
17.27	11.96	14.45	5.51	114.3	13.23	11.4	0	314.69	-7.35 
22.28	12.53	17.64	13.31	27.2	21.61	5.9	0	314.69	-7.06 
21.31	10.59	16.36	13.56	7.3	18.43	4.1	0	314.69	-6.85 
15.36	5.56	10.74	8.63	45.5	11.37	7.3	2.9	314.69	-6.89 
12.39	0.43	6.64	8.28	17.9	7.07	9.8	10.9	314.69	-7.06 
2.41	-6.79	-2.61	3.02	12.3	1.87	17.4	22.3	314.69	-7.22 
-0.45	-4.08	-2.6	0.45	174.9	0.08	17.9	18	314.69	-7.31 
-10.49	-22	-16.2	0.81	141.6	1.08	17	46.2	314.69	-7.33 
-1.68	-10.14	-5.47	1.83	195	2.75	15	27.5	314.69	-7.37 
4.98	-2.5	1.16	3.06	74.5	5.9	16	15.5	314.69	-7.42 
5.78	0.58	3.18	2.14	251.3	8.76	12	10.7	314.69	-7.47 
13.48	4.45	9.03	7.09	33.9	18.38	15	4.6	314.69	-7.48 
14.86	9.12	11.75	5.06	111.8	15.19	11	0	314.69	-7.35 
20.69	12.62	16.72	10.28	35.8	20.28	3	0	314.69	-7.07 
18.09	9.15	13.72	9.56	59.4	15.56	3	0	314.69	-6.86 
17.08	6.54	11.93	10.27	23.6	12.47	1	1.4	314.69	-6.90 
10.69	4.01	7.13	4.35	94.5	4.76	7	5.3	314.69	-7.07 
3.23	-0.09	0.9	0.73	234.5	0.72	21	11.8	314.69	-7.23 
-1.27	-3.82	-3.26	0	232.9	0.06	22	17.6	314.69	-7.32 
-1.9	-6.47	-4.51	0.63	127.5	0.56	20	21.8	314.69	-7.33 
-0.27	-6.84	-4.23	1.54	94.6	1.73	13	22.4	314.69	-7.37 
2.39	-1.69	0.12	0.99	180.1	2.86	4	14.3	314.69	-7.43 
8.11	1.36	4.92	3.57	92.5	9.24	10	9.5	314.69	-7.47 
12.55	4.58	8.36	5.92	33.1	15.73	4	4.4	314.69	-7.49 
17.7	10.49	13.95	7.69	64.4	16.85	6	0	314.69	-7.36 
22.42	13.72	17.89	12.21	8	19.6	11	0	314.69	-7.08 
19.9	9.45	15.02	12.17	33.7	17.83	8	0	314.69	-6.86 
20.04	10.18	15.17	11.72	75.4	10.62	15	0	314.69	-6.90 
9.83	4.24	6.66	3.34	109.8	3.68	7	5	314.69	-7.07 
-0.14	-4.37	-2.53	0.72	122.3	0.57	19	18.5	314.69	-7.23 
-1.03	-4.51	-3.17	0.33	138.4	0.04	18	18.7	314.69	-7.32 
-0.82	-2.56	-2.08	0	110.9	0.32	16	15.6	314.69	-7.34 
-2.76	-8.8	-5.73	0.98	188.6	2.19	8	25.4	314.69	-7.38 
4.36	-2.57	1.14	2.66	81.8	5.92	15	15.7	314.69	-7.43 
10.33	1.7	6.28	5.43	14.3	13.88	24	9	314.69	-7.48 
14.06	5.15	9.86	7.29	47.7	17.92	18	3.5	314.69	-7.50 
14.47	7.56	10.93	5.92	94.1	16.35	18	0	314.69	-7.37 
21.14	12.17	16.88	11.59	23.6	21.69	20	0	314.69	-7.08 
22.7	10.76	17.2	16	0	20.15	6	0	314.69	-6.87 
16.3	7.11	12.17	8.7	28.7	11.87	6	0.5	314.69	-6.91 
8.69	2.2	5.66	3.6	76.6	4.42	6	8.2	314.69	-7.08 
5.45	-2.07	1.47	3.21	37.1	1.24	9	14.9	314.69	-7.24 
0.56	-2.09	-1.16	0.13	224.7	0.08	14	14.9	314.69	-7.33 
-2.64	-7.95	-5.76	0.77	118.8	0.52	14	24.1	314.69	-7.35 
0.69	-2.54	-1.6	0.4	211.8	0.87	16	15.6	314.69	-7.39 
5.69	-0.25	2.72	2.51	146.2	4.72	15	12	314.69	-7.44 
8.14	2.88	5.34	2.7	121.9	7.57	12	7.1	314.69	-7.49 
14.89	6.09	10.78	7.63	61.4	17.98	10	2.1	314.69	-7.50 
18.65	9.78	14.47	9.83	35.1	22.66	21	0	314.69	-7.37 
20.89	13.12	16.93	10.06	64.4	18.58	4	0	314.69	-7.09 
21.19	10.24	16.31	13.68	0	19.45	1	0	314.69	-6.88 
15.56	11.19	13.28	3.95	155.2	7.63	9	0	314.69	-6.92 
9.99	5.59	7.22	2.54	173.8	3.95	11	2.9	314.69	-7.09 
-1.19	-5.36	-3.54	0.57	213.4	0.96	21	20	314.69	-7.25 
-0.97	-4.16	-2.92	0.22	119.9	0.05	19	18.1	314.69	-7.34 
-1.11	-5.3	-3.58	0.59	103.3	0.46	15	19.9	314.69	-7.35 
2.85	-3.54	-0.37	2.09	40.8	2.81	9	17.2	314.69	-7.39 
7.84	-1.36	3.63	4.77	36.6	8.74	21	13.8	314.69	-7.45 
10.4	2.25	6.57	5.17	36.9	12.51	15	8.1	314.69	-7.49 
11.23	6.7	8.83	2.93	241.1	11.89	12	1.1	314.69	-7.51 
14.74	11.14	12.87	2.94	123.9	12.39	14	0	314.69	-7.38 
22.38	14.36	18.35	11.35	23.3	19.55	10	0	314.69	-7.10 
19.42	12.2	15.75	8.59	59.1	12.68	7	0	314.69	-6.88 
10.3	6.76	8.15	1.94	157.1	5.2	8	1	314.69	-6.93 
7.1	2.23	4.36	2.23	117.6	3.18	11	8.1	314.69	-7.09 
2.38	-1.11	0.42	0.71	135.8	0.63	19	13.4	314.69	-7.25 
-1.48	-4.54	-3.49	0.12	200.4	0.03	22	18.7	314.69	-7.34 
-4.44	-12.12	-8.53	1.14	63	0.53	23	30.7	314.69	-7.36 
-1.58	-7.43	-4.58	1.09	100.2	2	16	23.3	314.69	-7.40 
3.35	-3.38	0.26	2.34	49.3	5.46	15	16.9	314.69	-7.45 
9.88	1.1	5.68	5.33	78.7	11.61	22	9.9	314.69	-7.50 
9.73	4.35	7.08	3.18	186.4	12.21	18	4.8	314.69	-7.52 
13.18	7.77	10.11	4.2	140.9	14.13	2	0	314.69	-7.39 
21.17	12.3	16.52	11.5	61.6	22.15	1	0	314.69	-7.10 
21.78	11.29	16.62	13.7	8.1	18.79	4	0	314.69	-6.89 
16.93	6.2	11.85	10.31	1.4	12.52	9	1.9	314.69	-6.93 
10.54	1.47	6.11	5.77	111.6	5.11	12	9.3	314.69	-7.10 
-0.26	-2.62	-1.71	0	296.6	0.47	19	15.7	314.69	-7.26 
-2.55	-4.18	-3.43	0	169.4	0.01	26	18.2	314.69	-7.35 
-5.66	-11.99	-8.5	0.65	108.6	0.79	20	30.4	314.69	-7.37 
0.53	-5.82	-2.43	1.62	98	2.85	15	20.8	314.69	-7.41 
1.56	-6.6	-1.65	2.46	125.3	6.7	21	22	314.69	-7.46 
9.26	1.8	6.04	4.35	118.6	11.76	15	8.8	314.69	-7.51 
9.4	3.27	6.42	3.58	86.3	13.46	12	6.5	314.69	-7.52 
12.45	7.32	9.61	3.74	134.9	14.95	15	0.1	314.69	-7.39 
19.57	11.08	15.35	10.03	20.6	19.22	13	0	314.69	-7.11 
17.84	9.6	14.23	8.75	27.4	17.02	4	0	314.69	-6.90 
17.5	5.53	12.13	11.65	16.6	12.46	13	2.9	314.69	-6.94 
8.8	3.23	6.13	3.06	153.8	4.03	13	6.5	314.69	-7.11 
2	-2.81	-0.28	1.26	44	1.07	12	16	314.69	-7.27 
-3.18	-7.71	-5.34	0.47	120.1	0.05	15	23.7	314.69	-7.36 
-2.38	-7.97	-4.39	0.9	62.7	0.6	22	24.1	314.69	-7.38 
-1.82	-5.77	-3.37	0.42	75.3	1.53	15	20.7	314.69	-7.41 
0.95	-5.5	-1.65	1.73	64.2	5.75	17	20.3	314.69	-7.47 
7.77	0.33	4.71	3.86	93.7	11.12	15	11.1	314.69	-7.51 
12.93	5.48	9.16	5.71	47	16.06	18	3	314.69	-7.53 
15.3	9.3	12.05	5.46	82.7	14.85	13	0	314.69	-7.40 
20.8	10.48	15.69	12.74	6.1	24.03	8	0	314.69	-7.12 
18.78	9.06	14.2	10.7	43.1	16.9	0	0	314.69	-6.91 
16.47	8.01	12.27	8.19	85.3	10.79	7	0	314.69	-6.95 
12.76	3.28	8.4	7.03	27.2	5.5	9	6.5	314.69	-7.12 
0.41	-2.21	-1.1	0.11	118	0.34	21	15.1	314.69	-7.28 
-4.36	-8.62	-6.32	0.26	126.2	0.03	17	25.1	314.69	-7.36 
-2.15	-4.34	-3.34	0	159.9	0.29	25	18.4	314.69	-7.38 
-0.47	-3.96	-2.41	0.39	107.7	0.93	20	17.8	314.69	-7.42 
0.96	-3.05	-0.67	0.77	184.9	3.78	21	16.4	314.69	-7.48 
5.09	-1.16	2.41	2.52	132.3	9.63	14	13.4	314.69	-7.52 
12.05	5.19	8.82	4.94	121.9	12.84	15	3.5	314.69	-7.54 
13.73	7.44	10.81	5.12	70.5	18.2	14	0	314.69	-7.41 
21.68	11.63	16.89	13.16	0	24.07	5	0	314.69	-7.12 
22.23	10.88	16.75	14.97	14.5	20.28	6	0	314.69	-6.91 
13.63	5.71	9.82	6.36	153.3	10.45	3	2.7	314.69	-6.96 
11.29	2.49	7.12	5.93	100.5	5.85	8	7.7	314.69	-7.12 
0.59	-2.72	-1.69	0.43	213.9	0.72	16	15.9	314.69	-7.28 
-2.51	-5.79	-4.71	0.12	153.1	0.04	17	20.7	314.69	-7.37 
-1.72	-6.51	-4.38	0.73	182.9	0.64	21	21.8	314.69	-7.39 
-0.2	-4.58	-2.39	0.77	105.6	1.41	16	18.8	314.69	-7.43 
4.02	-0.51	1.76	1.46	130.8	3.84	18	12.4	314.69	-7.48 
9.05	1.41	5.55	4.39	84.7	12.05	15	9.4	314.69	-7.53 
13.92	5.08	9.69	7.17	88.9	18.83	14	3.6	314.69	-7.54 
15.01	7.87	11.27	6.35	105.8	16.28	11	0	314.69	-7.42 
21.21	11.89	16.53	12.02	10.3	21.86	2	0	314.69	-7.13 
21.76	11.05	16.23	13.92	12.1	18.57	0	0	314.69	-6.92 
15.16	6.65	10.8	7.54	53.3	9.02	9	1.2	314.69	-6.96 
6.44	-0.48	2.78	3.19	138.4	4.51	8	12.4	314.69	-7.13 
0.55	-4.28	-2.02	1.05	308	1	12	18.3	314.69	-7.29 
-0.99	-5.03	-3.43	0.55	148.1	0.02	14	19.5	314.69	-7.38 
-4.11	-10.29	-6.99	0.82	143.5	0.56	15	27.8	314.69	-7.40 
1.98	-5.01	-1.57	2.14	98	2.55	15	19.5	314.69	-7.44 
6.18	-1.71	2.18	3.59	115.6	6.63	15	14.3	314.69	-7.49 
9.19	0.84	5.17	4.83	89.6	12.49	20	10.3	314.69	-7.54 
16.1	6.62	11.08	8.82	50.2	20.12	11	1.2	314.69	-7.55 
14.96	9.12	11.35	5.18	174.2	14.71	13	0	314.69	-7.42 
21.83	11.27	16.56	13.82	7.8	25.18	6	0	314.69	-7.14 
20.04	9.97	15.07	11.92	25.1	18.23	5	0	314.69	-6.93 
15.52	7.75	11.54	7.11	144	8.84	5	0	314.69	-6.97 
8.48	6.04	6.9	0.81	262.9	2.02	13	2.1	314.69	-7.14 
0.05	-1.41	-1.17	0	181.8	0.25	18	13.8	314.69	-7.30 
-1.26	-3.05	-2.42	0	131.2	0	20	16.4	314.69	-7.39 
-2.56	-8.23	-4.78	0.9	181.7	0.75	19	24.5	314.69	-7.41 
-1.34	-7.9	-4.56	1.36	173.8	2.1	15	24	314.69	-7.45 
1.87	-4.47	-1.52	1.87	120.2	4.7	22	18.6	314.69	-7.50 
6.19	0.91	3.42	2.27	196.2	7.5	12	10.2	314.69	-7.54 
11.36	6.37	8.49	3.33	258	11.52	16	1.6	314.69	-7.56 
17.85	12.49	14.46	5.81	178.6	13.98	11	0	314.69	-7.43 
19.06	10.35	14.36	9.93	172.7	22.63	3	0	314.69	-7.15 
18.62	10.74	14.33	8.84	32.3	14.78	5	0	314.69	-6.94 
15.92	6.66	11.29	8.55	34.8	11.35	8	1.2	314.69	-6.98 
10.56	0.33	5.38	6.42	51	6.1	5	11.1	314.69	-7.15 
0.18	-2.2	-1.47	0	198.5	0.46	17	15.1	314.69	-7.31 
-5.6	-10.71	-7.62	0.37	195.2	0.01	16	28.4	314.69	-7.40 
-10.41	-21.28	-15.17	0.75	43.2	1.22	18	45	314.69	-7.42 
-2.22	-10.13	-6	1.58	259.5	2.65	15	27.5	314.69	-7.45 
4.05	-3.63	0.12	2.9	117	6.13	21	17.3	314.69	-7.51 
11.46	0.94	6.63	7.01	58.7	14.57	17	10.1	314.69	-7.55 
15.58	6.62	10.84	8.12	61.6	17.47	15	1.2	314.69	-7.57 
17.62	8.04	12.57	9.81	34.9	23.5	6	0	314.69	-7.44 
21.08	11.13	16.05	12.59	31.3	22.73	1	0	314.69	-7.16 
21.57	10.49	16.16	14.12	38.4	19.63	3	0	314.69	-6.95 
17.79	6.66	12.15	11.2	87	12.02	4	1.2	314.69	-6.99 
6.92	-0.86	2.93	3.77	105.1	4.94	8	13	314.69	-7.16 
5.96	0.59	2.82	2.27	173.3	1.3	20	10.7	314.69	-7.32 
-2.16	-6.81	-4.56	0.63	225.4	0.07	18	22.3	314.69	-7.40 
-9.11	-20.8	-15.15	1.05	266.7	1.12	20	44.3	314.69	-7.42 
-0.92	-7.72	-4.22	1.5	203.4	1.83	17	23.7	314.69	-7.46 
1.42	-2.9	-0.98	0.97	236.8	2.73	8	16.2	314.69	-7.51 
7.21	-0.25	3.44	3.69	88	11.61	12	12	314.69	-7.56 
12.1	2.9	7.19	6.54	62	19.82	16	7.1	314.69	-7.58 
15.82	9.17	12.02	6.28	163	17.4	10	0	314.69	-7.45 
21.28	11.55	15.79	12.52	65.1	23.19	4	0	314.69	-7.16 
21.68	10.73	15.87	14.09	31.4	19.44	6	0	314.69	-6.96 
17.59	5.4	11.64	11.87	35.2	13.35	11	3.1	314.69	-7.00 
8.82	3.44	5.31	2.94	284.4	3.63	13	6.2	314.69	-7.17 
1.92	-1.77	-0.64	0.75	163.1	0.54	12	14.4	314.69	-7.32 
0.94	-1.78	-1.45	0.19	176.5	0.06	16	14.4	314.69	-7.41 
-3.02	-8.24	-6.09	0.7	177.2	0.66	15	24.6	314.69	-7.43 
0.02	-5.74	-3.12	1.31	163.1	2.53	8	20.6	314.69	-7.47 
1.29	-5.61	-2.1	1.96	106.5	6.36	15	20.4	314.69	-7.52 
10.64	-1.72	4.71	7.52	32.8	16.89	11	14.3	314.69	-7.57 
13.4	4.89	8.73	6.69	113.5	19.12	13	3.9	314.69	-7.58 
15.45	6.95	10.66	7.68	81.8	20.97	11	0.7	314.69	-7.46 
22.25	11.17	16.37	14.71	29.7	25.49	3	0	314.69	-7.17 
20.67	10.22	14.97	12.77	27.3	19.06	3	0	314.69	-6.96 
16.99	6.82	11.4	9.9	50.7	12.39	2	0.9	314.69	-7.01 
7.52	3.42	4.74	1.83	285.5	2.62	13	6.2	314.69	-7.18 
1.5	-2.74	-1.3	0.94	149.7	0.67	15	15.9	314.69	-7.33 
-3.98	-8.8	-6.86	0.47	257.1	0.04	16	25.4	314.69	-7.42 
-3.86	-10.08	-7.14	0.87	145.7	0.41	26	27.5	314.69	-7.44 
-0.88	-5.99	-3.41	0.95	68.9	2.13	11	21	314.69	-7.48 
2.15	-3.74	-0.63	1.74	70	5.03	15	17.5	314.69	-7.53 
12.22	1.05	7.08	7.76	48.2	17.06	12	10	314.69	-7.58 
13.89	5.75	9.59	6.65	82.7	17.9	6	2.6	314.69	-7.59 
15.89	8.93	11.98	6.58	167	16.32	6	0	314.69	-7.46 
21.76	10.79	16.27	14.18	0	24.53	1	0	314.69	-7.18 
21.09	10.97	15.77	12.76	15.3	18.55	5	0	314.69	-6.97 
18.27	7.73	13.33	11.07	40.4	12.04	6	0	314.69	-7.02 
14.66	1.04	8.2	10.65	4.4	7.73	5	10	314.69	-7.19 
1.48	-4.92	-1.95	1.81	18	1.53	23	19.3	314.69	-7.34 
-1.71	-3.99	-3.29	0	143.4	0.01	17	17.9	314.69	-7.43 
2.07	0.11	0.24	0	418.2	0.22	19.1	11.5	314.69	-7.45 
1.23	-2.96	-1.18	0.88	126.3	1.96	14	16.3	314.69	-7.49 
4.36	-1.8	1.4	2.32	80.9	5.57	16.2	14.4	314.69	-7.54 
7.41	0.92	4.19	3.24	116.8	9.32	14.9	10.2	314.69	-7.59 
11.46	3.49	7.34	5.48	136.1	15.71	13.3	6.1	314.69	-7.60 
13.63	7.64	10.2	4.84	90.7	15.59	11.4	0	314.69	-7.47 
21.86	9.62	15.85	15.51	0	28.13	5.9	0	314.69	-7.19 
20.4	11.18	15.94	11.34	48.1	17.24	4.1	0	314.69	-6.98 
18.22	6.95	12.64	11.63	15.9	12.75	7.3	0.7	314.69	-7.03 
12.27	2.55	7.83	6.94	24.9	6.42	9.8	7.6	314.69	-7.19 
4.32	0.06	1.68	1.37	188.2	0.91	17.4	11.5	314.69	-7.35 
-0.12	-1.68	-1.74	0	218.4	0.02	17.9	14.3	314.69	-7.44 
-2.39	-7.8	-5.51	0.84	339.4	0.59	19.1	23.9	314.69	-7.46 
2.75	-3.4	-0.52	1.97	105	2.2	14	17	314.69	-7.50 
3.17	-5.17	-1.3	2.93	80.4	6.97	16.2	19.7	314.69	-7.55 
6.87	0.69	3.52	2.92	122.1	10.43	14.9	10.5	314.69	-7.60 
13.74	4.75	9.53	7.18	85.4	18.93	13.3	4.2	314.69	-7.61 
14.15	7.74	10.65	5.38	113.8	16.84	11.4	0	314.69	-7.48 
20.14	11.05	15.59	11.02	69.5	21.2	5.9	0	314.69	-7.20 
17.68	10.15	13.81	7.99	129.5	14.5	4.1	0	314.69	-6.99 
15.39	7.35	11.07	7.28	103.5	11.06	7.3	0.1	314.69	-7.04 
9.01	0.58	4.88	4.81	74.5	5.78	9.8	10.7	314.69	-7.20 
4.96	1.14	2.75	1.24	134.5	1.09	17.4	9.8	314.69	-7.36 
-1.21	-5.11	-3.76	0.47	102.9	0.04	17.9	19.6	314.69	-7.45 
-2.69	-5.73	-4.62	0.02	74.6	0.31	17	20.6	314.69	-7.47 
-2.28	-7.64	-5.38	0.84	105.4	1.92	15	23.6	314.69	-7.51 
-0.48	-8.19	-4.54	1.86	105.4	6.25	16	24.5	314.69	-7.56 
4.69	-0.63	1.87	1.98	139	6.94	12	12.6	314.69	-7.60 
9.92	3.17	6.1	4.14	57.3	12.57	15	6.6	314.69	-7.62 
17.15	9.3	12.77	8.01	92.8	19.37	11	0	314.69	-7.49 
19.07	12.25	15.07	7.97	69	16.97	3	0	314.69	-7.21 
22.29	8.86	15.72	17.03	0	22.2	3	0	314.69	-7.00 
16.47	6.52	11.6	9.41	110.7	11.8	1	1.4	314.69	-7.05 
9.02	3.62	6.16	3	276.7	4.04	7	5.9	314.69	-7.21 
-1.86	-6.58	-4.46	0.68	255.1	1.02	21	21.9	314.69	-7.37 
-2.34	-7.52	-5.51	0.77	248.5	0.03	22	23.4	314.69	-7.46 
-2.11	-6.33	-4.57	0.49	178.6	0.5	20	21.6	314.69	-7.48 
-3.94	-10.63	-7.25	0.98	108.9	1.86	13	28.3	314.69	-7.52 
1.86	-4.64	-1.35	1.93	172	5.21	4	18.9	314.69	-7.57 
10.19	1.05	5.7	5.66	39.1	11.67	10	10	314.69	-7.61 
14.04	6.59	9.95	6.18	133.5	16.8	4	1.3	314.69	-7.63 
15.51	8.33	11.55	6.61	115.2	19.4	6	0	314.69	-7.50 
22.44	11.83	16.77	14.38	48.4	23.1	11	0	314.69	-7.22 
20.09	9.54	14.71	12.42	92.2	18.48	8	0	314.69	-7.01 
16.99	5.82	11.48	10.68	55.9	12.94	15	2.5	314.69	-7.06 
5.69	2.47	3.96	0.99	158.2	4.18	7	7.7	314.69	-7.22 
0.14	-3.93	-2.15	0.7	41.8	0.6	19	17.8	314.69	-7.38 
-0.52	-4.87	-3.03	0.72	169	0.07	18	19.3	314.69	-7.47 
-8.06	-15.54	-11.73	0.58	122.5	1.06	16	36	314.69	-7.49 
-1.27	-7.53	-4.04	1.27	213	2.52	8	23.4	314.69	-7.53 
3.29	-3.29	0.16	2.26	165.3	5.61	15	16.8	314.69	-7.58 
8.27	0.88	4.57	3.98	85.6	11.5	24	10.2	314.69	-7.62 
14	7.55	10.64	5.36	225.4	14.03	18	0	314.69	-7.64 
16.73	10.18	13	6.58	116.7	16.99	18	0	314.69	-7.51 
20.67	10.75	15.34	12.24	17.4	22.42	20	0	314.69	-7.23 
19.58	9.22	14.12	11.86	27.9	19.06	6	0	314.69	-7.02 
19.19	6.33	12.84	13.66	8.2	14.27	6	1.7	314.69	-7.07 
7.8	2.52	4.36	2.63	155.8	3.28	6	7.7	314.69	-7.23 
1.67	-4.09	-1.4	1.6	103.8	1.29	9	18	314.69	-7.39 
0.26	-2.89	-1.84	0.32	188.9	0.04	14	16.2	314.69	-7.48 
-0.95	-4.5	-3.1	0.37	181	0.19	14	18.7	314.69	-7.50 
3.28	-0.57	0.8	1.01	214.2	1.09	16	12.5	314.69	-7.54 
3.97	-2.97	0.54	2.57	65.9	5.78	15	16.3	314.69	-7.59 
6.6	0.96	3.69	2.56	181.4	8.5	12	10.1	315.21	-7.63 
17.51	8	12.61	9.69	34.1	20.06	10	0	314.77	-7.65 
18.09	11.77	14.16	6.94	140.9	14.13	21	0	314.87	-7.52 
22.65	12.65	16.89	13.9	48.9	21.48	4	0	314.97	-7.24 
23.48	13.01	17.88	15.16	10.4	18	1	0	315.99	-7.03 
15.49	7.56	11.29	7.24	50.1	9.48	9	0	315.84	-7.08 
11.3	1.62	6.48	6.45	91.2	5.93	11	9.1	315.54	-7.24 
